day,weekday,start,end,time,shift
2024-07-04,Thursday,14:45:00,20:00:00,5.25,Bersan block
2024-07-05,Friday,14:45:00,20:00:00,5.25,Bersan 
2024-07-06,Saturday,13:45:00,20:00:00,6.25,Bersan
2024-07-07,Sunday,13:45:00,18:00:00,4.25,Bersan
2024-07-11,Thursday,14:45:00,20:00:00,5.25,Bersan 
2024-07-12,Friday,14:45:00,20:00:00,5.25,Bersan 
2024-07-13,Saturday,13:45:00,20:00:00,6.25,Bersan block
2024-07-14,Sunday,13:45:00,18:00:00,4.25,Bersan block
2024-07-18,Thursday,14:45:00,20:00:00,5.25,Bersan block
2024-07-19,Friday,14:45:00,20:00:00,5.25,Bersan block
2024-07-20,Saturday,13:45:00,20:00:00,6.25,Bersan block
2024-07-21,Sunday,13:45:00,18:00:00,4.25,Bersan block
2024-07-25,Thursday,14:45:00,20:00:00,5.25,Bersan block
2024-07-26,Friday,14:45:00,20:00:00,5.25,Bersan block
2024-07-27,Saturday,13:45:00,20:00:00,6.25,Bersan
2024-07-28,Sunday,13:45:00,18:00:00,4.25,Bersan
